C_Value,N_Simus,Rally_len
0.9142135623730951,5,3
0.9142135623730951,5,1
0.9142135623730951,5,2
0.9142135623730951,5,5
0.9142135623730951,5,14
0.9142135623730951,5,3
0.9142135623730951,5,3
0.9142135623730951,5,3
0.9142135623730951,5,1
0.9142135623730951,5,12
0.9142135623730951,5,1
0.9142135623730951,5,2
0.9142135623730951,5,2
0.9142135623730951,5,8
0.9142135623730951,5,21
0.9142135623730951,5,2
0.9142135623730951,5,3
0.9142135623730951,5,1
0.9142135623730951,5,2
0.9142135623730951,5,7
0.9142135623730951,5,6
0.9142135623730951,5,2
0.9142135623730951,5,1
0.9142135623730951,5,6
0.9142135623730951,5,3
0.9142135623730951,5,10
0.9142135623730951,5,14
0.9142135623730951,5,4
0.9142135623730951,5,5
0.9142135623730951,5,10
0.9142135623730951,5,7
0.9142135623730951,5,4
0.9142135623730951,5,4
0.9142135623730951,5,7
0.9142135623730951,5,4
0.9142135623730951,5,2
0.9142135623730951,5,8
0.9142135623730951,5,15
0.9142135623730951,5,3
0.9142135623730951,5,3
0.9142135623730951,5,5
0.9142135623730951,5,2
0.9142135623730951,5,8
0.9142135623730951,5,7
0.9142135623730951,5,6
0.9142135623730951,5,6
0.9142135623730951,5,4
0.9142135623730951,5,11
0.9142135623730951,5,3
0.9142135623730951,5,4
0.9142135623730951,5,2
0.9142135623730951,5,6
0.9142135623730951,5,5
0.9142135623730951,5,11
0.9142135623730951,5,2
0.9142135623730951,5,7
0.9142135623730951,5,4
0.9142135623730951,5,15
0.9142135623730951,5,2
0.9142135623730951,5,2
0.9142135623730951,5,9
0.9142135623730951,5,4
0.9142135623730951,5,2
0.9142135623730951,5,3
0.9142135623730951,5,9
0.9142135623730951,5,6
0.9142135623730951,5,2
0.9142135623730951,5,6
0.9142135623730951,5,3
0.9142135623730951,5,3
0.9142135623730951,5,2
0.9142135623730951,5,6
0.9142135623730951,5,12
0.9142135623730951,5,3
0.9142135623730951,5,2
0.9142135623730951,5,4
0.9142135623730951,5,4
0.9142135623730951,5,3
0.9142135623730951,5,8
0.9142135623730951,5,3
0.9142135623730951,5,6
0.9142135623730951,5,12
0.9142135623730951,5,4
0.9142135623730951,5,1
0.9142135623730951,5,2
0.9142135623730951,5,2
0.9142135623730951,5,10
0.9142135623730951,5,6
0.9142135623730951,5,8
0.9142135623730951,5,9
0.9142135623730951,5,3
0.9142135623730951,5,8
0.9142135623730951,5,2
0.9142135623730951,5,1
0.9142135623730951,5,9
0.9142135623730951,5,5
0.9142135623730951,5,3
0.9142135623730951,5,12
0.9142135623730951,5,3
0.9142135623730951,5,8
0.9142135623730951,5,7
0.9142135623730951,5,4
0.9142135623730951,5,3
0.9142135623730951,5,2
0.9142135623730951,5,5
0.9142135623730951,5,2
0.9142135623730951,5,3
0.9142135623730951,5,3
0.9142135623730951,5,4
0.9142135623730951,5,23
0.9142135623730951,5,9
0.9142135623730951,5,10
0.9142135623730951,5,8
0.9142135623730951,5,4
0.9142135623730951,5,9
0.9142135623730951,5,4
0.9142135623730951,5,6
0.9142135623730951,5,4
0.9142135623730951,5,2
0.9142135623730951,5,5
0.9142135623730951,5,2
0.9142135623730951,5,4
0.9142135623730951,5,8
0.9142135623730951,5,13
0.9142135623730951,5,6
0.9142135623730951,5,2
0.9142135623730951,5,9
0.9142135623730951,5,6
0.9142135623730951,5,10
0.9142135623730951,5,1
0.9142135623730951,5,5
0.9142135623730951,5,1
0.9142135623730951,5,12
0.9142135623730951,5,7
0.9142135623730951,5,6
0.9142135623730951,5,4
0.9142135623730951,5,2
0.9142135623730951,5,6
0.9142135623730951,5,2
0.9142135623730951,5,2
0.9142135623730951,5,2
0.9142135623730951,5,5
0.9142135623730951,5,3
0.9142135623730951,5,2
0.9142135623730951,5,2
0.9142135623730951,5,2
0.9142135623730951,5,7
0.9142135623730951,5,8
0.9142135623730951,5,2
0.9142135623730951,5,3
0.9142135623730951,5,2
0.9142135623730951,5,5
0.9142135623730951,5,23
0.9142135623730951,5,6
0.9142135623730951,5,8
0.9142135623730951,5,3
0.9142135623730951,5,8
0.9142135623730951,5,4
0.9142135623730951,5,1
0.9142135623730951,5,3
0.9142135623730951,5,3
0.9142135623730951,5,5
0.9142135623730951,5,10
0.9142135623730951,5,7
0.9142135623730951,5,5
0.9142135623730951,5,1
0.9142135623730951,5,7
0.9142135623730951,5,5
0.9142135623730951,5,7
0.9142135623730951,5,3
0.9142135623730951,5,3
0.9142135623730951,5,3
0.9142135623730951,5,3
0.9142135623730951,5,4
0.9142135623730951,5,6
0.9142135623730951,5,2
0.9142135623730951,5,3
0.9142135623730951,5,8
0.9142135623730951,5,3
0.9142135623730951,5,3
0.9142135623730951,5,8
0.9142135623730951,5,4
0.9142135623730951,5,6
0.9142135623730951,5,2
0.9142135623730951,5,6
0.9142135623730951,5,5
0.9142135623730951,5,6
0.9142135623730951,5,8
0.9142135623730951,5,2
0.9142135623730951,5,6
0.9142135623730951,5,4
0.9142135623730951,5,2
0.9142135623730951,5,10
0.9142135623730951,5,8
0.9142135623730951,5,1
0.9142135623730951,5,2
0.9142135623730951,5,1
0.9142135623730951,5,5
0.9142135623730951,5,4
0.9142135623730951,5,1
0.9142135623730951,5,8
0.9142135623730951,5,18
0.9142135623730951,5,5
0.9142135623730951,5,3
0.9142135623730951,5,3
0.9142135623730951,5,4
0.9142135623730951,5,1
0.9142135623730951,5,12
0.9142135623730951,5,1
0.9142135623730951,5,3
0.9142135623730951,5,12
0.9142135623730951,5,12
0.9142135623730951,5,7
0.9142135623730951,5,3
0.9142135623730951,5,2
0.9142135623730951,5,3
0.9142135623730951,5,4
0.9142135623730951,5,11
0.9142135623730951,5,4
0.9142135623730951,5,8
0.9142135623730951,5,9
0.9142135623730951,5,4
0.9142135623730951,5,5
0.9142135623730951,5,7
0.9142135623730951,5,5
0.9142135623730951,5,1
0.9142135623730951,5,3
0.9142135623730951,5,2
0.9142135623730951,5,10
0.9142135623730951,5,1
0.9142135623730951,5,7
0.9142135623730951,5,6
0.9142135623730951,5,2
0.9142135623730951,5,2
0.9142135623730951,5,4
0.9142135623730951,5,1
0.9142135623730951,5,3
0.9142135623730951,5,3
0.9142135623730951,5,1
0.9142135623730951,5,2
0.9142135623730951,5,3
0.9142135623730951,5,7
0.9142135623730951,5,4
0.9142135623730951,5,4
0.9142135623730951,5,2
0.9142135623730951,5,7
0.9142135623730951,5,2
0.9142135623730951,5,3
0.9142135623730951,5,8
0.9142135623730951,5,4
0.9142135623730951,5,2
0.9142135623730951,5,2
0.9142135623730951,5,3
0.9142135623730951,5,3
0.9142135623730951,5,3
0.9142135623730951,5,2
0.9142135623730951,5,2
0.9142135623730951,5,2
0.9142135623730951,5,6
0.9142135623730951,5,3
0.9142135623730951,5,1
0.9142135623730951,5,16
0.9142135623730951,5,1
0.9142135623730951,5,7
0.9142135623730951,5,8
0.9142135623730951,5,2
0.9142135623730951,5,4
0.9142135623730951,5,3
0.9142135623730951,5,4
0.9142135623730951,5,9
0.9142135623730951,5,5
0.9142135623730951,5,3
0.9142135623730951,5,2
0.9142135623730951,5,8
0.9142135623730951,5,5
0.9142135623730951,5,9
0.9142135623730951,5,3
0.9142135623730951,5,8
0.9142135623730951,5,8
0.9142135623730951,5,3
0.9142135623730951,5,3
0.9142135623730951,5,11
0.9142135623730951,5,12
0.9142135623730951,5,2
0.9142135623730951,5,3
0.9142135623730951,5,2
0.9142135623730951,5,2
0.9142135623730951,5,4
0.9142135623730951,5,2
0.9142135623730951,5,2
0.9142135623730951,5,3
0.9142135623730951,5,3
0.9142135623730951,5,8
0.9142135623730951,5,8
0.9142135623730951,5,7
0.9142135623730951,5,1
0.9142135623730951,5,4
0.9142135623730951,5,12
0.9142135623730951,5,6
0.9142135623730951,5,5
0.9142135623730951,5,2
0.9142135623730951,5,3
0.9142135623730951,5,5
0.9142135623730951,5,8
0.9142135623730951,5,9
0.9142135623730951,5,4
0.9142135623730951,5,3
0.9142135623730951,5,3
0.9142135623730951,5,8
0.9142135623730951,5,5
0.9142135623730951,5,7
0.9142135623730951,5,1
0.9142135623730951,5,3
0.9142135623730951,5,5
0.9142135623730951,5,14
0.9142135623730951,5,3
0.9142135623730951,5,4
0.9142135623730951,5,4
0.9142135623730951,5,3
0.9142135623730951,5,2
0.9142135623730951,5,3
0.9142135623730951,5,4
0.9142135623730951,5,5
0.9142135623730951,5,12
0.9142135623730951,5,5
0.9142135623730951,5,9
0.9142135623730951,5,3
0.9142135623730951,5,7
0.9142135623730951,5,10
0.9142135623730951,5,13
0.9142135623730951,5,5
0.9142135623730951,5,4
0.9142135623730951,5,10
0.9142135623730951,5,7
0.9142135623730951,5,4
0.9142135623730951,5,2
0.9142135623730951,5,1
0.9142135623730951,5,4
0.9142135623730951,5,3
0.9142135623730951,5,5
0.9142135623730951,5,3
0.9142135623730951,5,3
0.9142135623730951,5,3
0.9142135623730951,5,7
0.9142135623730951,5,4
0.9142135623730951,5,6
0.9142135623730951,5,3
0.9142135623730951,5,8
0.9142135623730951,5,2
0.9142135623730951,5,3
0.9142135623730951,5,5
0.9142135623730951,5,4
0.9142135623730951,5,3
0.9142135623730951,5,7
0.9142135623730951,5,3
0.9142135623730951,5,4
0.9142135623730951,5,1
0.9142135623730951,5,2
0.9142135623730951,5,7
0.9142135623730951,5,2
0.9142135623730951,5,9
0.9142135623730951,5,2
0.9142135623730951,5,14
0.9142135623730951,5,6
0.9142135623730951,5,5
0.9142135623730951,5,5
0.9142135623730951,5,2
0.9142135623730951,5,2
0.9142135623730951,5,1
0.9142135623730951,5,2
0.9142135623730951,5,29
0.9142135623730951,5,5
0.9142135623730951,5,11
0.9142135623730951,5,2
0.9142135623730951,5,5
0.9142135623730951,5,13
0.9142135623730951,5,3
0.9142135623730951,5,6
0.9142135623730951,5,7
0.9142135623730951,5,2
0.9142135623730951,5,3
0.9142135623730951,5,4
0.9142135623730951,5,5
0.9142135623730951,5,1
0.9142135623730951,5,6
0.9142135623730951,5,4
0.9142135623730951,5,3
0.9142135623730951,5,3
0.9142135623730951,5,5
0.9142135623730951,5,1
0.9142135623730951,5,12
0.9142135623730951,5,2
0.9142135623730951,5,2
0.9142135623730951,5,2
0.9142135623730951,5,2
0.9142135623730951,5,13
0.9142135623730951,5,4
0.9142135623730951,5,4
0.9142135623730951,5,3
0.9142135623730951,5,6
0.9142135623730951,5,2
0.9142135623730951,5,2
0.9142135623730951,5,3
0.9142135623730951,5,3
0.9142135623730951,5,4
0.9142135623730951,5,2
0.9142135623730951,5,2
0.9142135623730951,5,3
0.9142135623730951,5,14
0.9142135623730951,5,3
0.9142135623730951,5,7
0.9142135623730951,5,2
0.9142135623730951,5,3
0.9142135623730951,5,3
0.9142135623730951,5,4
0.9142135623730951,5,2
0.9142135623730951,5,1
0.9142135623730951,5,4
0.9142135623730951,5,5
0.9142135623730951,5,3
0.9142135623730951,5,13
0.9142135623730951,5,16
0.9142135623730951,5,3
0.9142135623730951,5,7
0.9142135623730951,5,5
0.9142135623730951,5,5
0.9142135623730951,5,2
0.9142135623730951,5,4
0.9142135623730951,5,9
0.9142135623730951,5,5
0.9142135623730951,5,9
0.9142135623730951,5,5
0.9142135623730951,5,2
0.9142135623730951,5,5
0.9142135623730951,5,3
0.9142135623730951,5,3
0.9142135623730951,5,1
0.9142135623730951,5,1
0.9142135623730951,5,1
0.9142135623730951,5,8
0.9142135623730951,5,2
0.9142135623730951,5,1
0.9142135623730951,5,7
0.9142135623730951,5,13
0.9142135623730951,5,4
0.9142135623730951,5,1
0.9142135623730951,5,3
0.9142135623730951,5,6
0.9142135623730951,5,6
0.9142135623730951,5,7
0.9142135623730951,5,6
0.9142135623730951,5,8
0.9142135623730951,5,7
0.9142135623730951,5,3
0.9142135623730951,5,1
0.9142135623730951,5,3
0.9142135623730951,5,3
0.9142135623730951,5,4
0.9142135623730951,5,2
0.9142135623730951,5,5
0.9142135623730951,5,3
0.9142135623730951,5,4
0.9142135623730951,5,1
0.9142135623730951,5,6
0.9142135623730951,5,10
0.9142135623730951,5,2
0.9142135623730951,5,2
0.9142135623730951,5,2
0.9142135623730951,5,3
0.9142135623730951,5,4
0.9142135623730951,5,7
0.9142135623730951,5,1
0.9142135623730951,5,5
0.9142135623730951,5,2
0.9142135623730951,5,8
0.9142135623730951,5,2
0.9142135623730951,5,3
0.9142135623730951,5,3
0.9142135623730951,5,3
0.9142135623730951,5,2
0.9142135623730951,5,4
0.9142135623730951,5,6
0.9142135623730951,5,13
0.9142135623730951,5,1
0.9142135623730951,5,4
0.9142135623730951,5,5
0.9142135623730951,5,6
0.9142135623730951,5,1
0.9142135623730951,5,2
0.9142135623730951,5,5
0.9142135623730951,5,8
0.9142135623730951,5,3
0.9142135623730951,5,1
0.9142135623730951,5,8
0.9142135623730951,5,8
0.9142135623730951,5,5
0.9142135623730951,5,4
0.9142135623730951,5,4
0.9142135623730951,5,3
0.9142135623730951,5,4
0.9142135623730951,5,6
0.9142135623730951,5,5
0.9142135623730951,5,9
0.9142135623730951,5,6
0.9142135623730951,5,2
0.9142135623730951,5,16
0.9142135623730951,5,2
0.9142135623730951,5,5
0.9142135623730951,5,5
0.9142135623730951,5,21
0.9142135623730951,5,6
0.9142135623730951,5,4
0.9142135623730951,5,3
0.9142135623730951,5,1
0.9142135623730951,5,4
0.9142135623730951,5,4
0.9142135623730951,5,2
0.9142135623730951,5,3
0.9142135623730951,5,2
0.9142135623730951,5,2
0.9142135623730951,5,1
0.9142135623730951,5,4
0.9142135623730951,5,7
0.9142135623730951,5,5
0.9142135623730951,5,5
0.9142135623730951,5,2
0.9142135623730951,5,5
0.9142135623730951,5,1
0.9142135623730951,5,7
0.9142135623730951,5,3
0.9142135623730951,5,1
0.9142135623730951,5,5
0.9142135623730951,5,7
0.9142135623730951,5,11
0.9142135623730951,5,2
0.9142135623730951,5,4
0.9142135623730951,5,7
0.9142135623730951,5,8
0.9142135623730951,5,4
0.9142135623730951,5,3
0.9142135623730951,5,9
0.9142135623730951,5,3
0.9142135623730951,5,4
0.9142135623730951,5,2
0.9142135623730951,5,8
0.9142135623730951,5,1
0.9142135623730951,5,9
0.9142135623730951,5,1
0.9142135623730951,5,3
0.9142135623730951,5,2
0.9142135623730951,5,6
0.9142135623730951,5,4
0.9142135623730951,5,4
0.9142135623730951,5,2
0.9142135623730951,5,3
0.9142135623730951,5,3
0.9142135623730951,5,2
0.9142135623730951,5,6
0.9142135623730951,5,8
0.9142135623730951,5,3
0.9142135623730951,5,1
0.9142135623730951,5,6
0.9142135623730951,5,5
0.9142135623730951,5,13
0.9142135623730951,5,12
0.9142135623730951,5,6
0.9142135623730951,5,4
0.9142135623730951,5,2
0.9142135623730951,5,4
0.9142135623730951,5,3
0.9142135623730951,5,4
0.9142135623730951,5,11
0.9142135623730951,5,2
0.9142135623730951,5,5
0.9142135623730951,5,2
0.9142135623730951,5,1
0.9142135623730951,5,10
0.9142135623730951,5,5
0.9142135623730951,5,4
0.9142135623730951,5,5
0.9142135623730951,5,5
0.9142135623730951,5,3
0.9142135623730951,5,2
0.9142135623730951,5,6
0.9142135623730951,5,1
0.9142135623730951,5,5
0.9142135623730951,5,3
0.9142135623730951,5,6
0.9142135623730951,5,5
0.9142135623730951,5,2
0.9142135623730951,5,9
0.9142135623730951,5,23
0.9142135623730951,5,8
0.9142135623730951,5,1
0.9142135623730951,5,2
0.9142135623730951,5,3
0.9142135623730951,5,3
0.9142135623730951,5,3
0.9142135623730951,5,3
0.9142135623730951,5,18
0.9142135623730951,5,2
0.9142135623730951,5,3
0.9142135623730951,5,4
0.9142135623730951,5,3
0.9142135623730951,5,21
0.9142135623730951,5,3
0.9142135623730951,5,12
0.9142135623730951,5,11
0.9142135623730951,5,13
0.9142135623730951,5,6
0.9142135623730951,5,3
